 ,0.16827080696469765
о,0.09546058762401124
е,0.07154055090496164
а,0.06624529835221278
н,0.054104963231276365
и,0.05395097371051162
т,0.05387646265207707
с,0.04404100293871614
в,0.03848049101794027
л,0.03825298391952011
р,0.034708244499593664
к,0.027453847850405638
д,0.026633232726846433
м,0.02617722504922697
у,0.02468501691897767
п,0.022837142669800768
ь,0.019129472402097437
я,0.017752508042226906
ч,0.015088986073386438
б,0.01447700191344398
г,0.014016026831928883
ы,0.01373387829065671
з,0.012816895531522151
ж,0.00949072188300373
й,0.00829457102493438
х,0.007086498397515503
ш,0.006838128202733662
ю,0.004695190162155933
э,0.0029436835485543863
щ,0.002488669351714052
ц,0.002286992753551197
ф,0.0009805655289987104
ё,0.0009597024326370358
ъ,0.00020167659816285535
